Unnamed: 0.1,Unnamed: 0,date,venue,match_category,team_1,team_2,team_1_runs,team_1_wickets,team_2_runs,team_2_wickets,result,pom,best_batters,best_bowlers,world_cup_year,host_country,match_status,winning_team,best_bowler_1,best_bowler_1_wick,best_bowler_2,best_bowler_2_wick,best_batter_1,best_batter_1_runs,best_batter_2,best_batter_2_runs
26,6,2011-02-24, Delhi,League-Match,WI,SA,222.0,0.0,223.0,3.0,South Africa won by 7 wickets (with 43 balls remaining),AB de Villiers,"['AB de Villiers - 107 runs ', 'DM Bravo - 73 runs ']","['Imran Tahir - 4', 'DW Steyn - 3']",2011,India,played,South Africa ,Imran Tahir,4,DW Steyn,3,AB de Villiers,107 runs,DM Bravo,73 runs
28,47,2011-03-30, Mohali,Semi-Final,IND,PAK,260.0,9.0,231.0,0.0,India won by 29 runs,Sachin Tendulkar,"['SR Tendulkar - 85 runs ', 'Misbah-ul-Haq - 56 runs ']","['Wahab Riaz - 5', 'A Nehra - 2']",2011,India,played,India ,Wahab Riaz,5,A Nehra,2,SR Tendulkar,85 runs,Misbah-ul-Haq,56 runs
30,22,2011-03-07, Delhi,League-Match,KENYA,CAN,198.0,0.0,199.0,5.0,Canada won by 5 wickets (with 27 balls remaining),Henry Osinde,"['AS Hansra - 70 runs ', 'A Bagai - 64 runs ']","['H Osinde - 4', 'Rizwan Cheema - 2']",2011,India,played,Canada ,H Osinde,4,Rizwan Cheema,2,AS Hansra,70 runs,A Bagai,64 runs
31,25,2011-03-10, Pallekele,League-Match,SL,ZIM,327.0,6.0,188.0,0.0,Sri Lanka won by 139 runs,Tillakaratne Dilshan,"['TM Dilshan - 144 runs ', 'WU Tharanga - 133 runs ']","['TM Dilshan - 4', 'CB Mpofu - 4']",2011,Sri Lanka,played,Sri Lanka ,TM Dilshan,4,CB Mpofu,4,TM Dilshan,144 runs,WU Tharanga,133 runs
41,20,2011-03-06, Chennai,League-Match,ENG,SA,171.0,0.0,165.0,0.0,England won by 6 runs,Ravi Bopara,"['RS Bopara - 60 runs ', 'IJL Trott - 52 runs ']","['SCJ Broad - 4', 'Imran Tahir - 4']",2011,India,played,England ,SCJ Broad,4,Imran Tahir,4,RS Bopara,60 runs,IJL Trott,52 runs
43,23,2011-03-08, Pallekele,League-Match,NZ,PAK,302.0,7.0,192.0,0.0,New Zealand won by 110 runs,Ross Taylor,"['LRPL Taylor - 131 runs ', 'Abdul Razzaq - 62 runs ']","['TG Southee - 3', 'Umar Gul - 3']",2011,Sri Lanka,played,New Zealand ,TG Southee,3,Umar Gul,3,LRPL Taylor,131 runs,Abdul Razzaq,62 runs
44,17,2011-03-04, Ahmedabad,League-Match,ZIM,NZ,162.0,0.0,166.0,0.0,New Zealand won by 10 wickets (with 99 balls remaining),Martin Guptill,"['MJ Guptill - 86 runs ', 'BB McCullum - 76 runs ']","['TG Southee - 3', 'DL Vettori - 2']",2011,India,played,New Zealand ,TG Southee,3,DL Vettori,2,MJ Guptill,86 runs,BB McCullum,76 runs
46,5,2011-02-23, Hambantota,League-Match,PAK,KENYA,317.0,7.0,112.0,0.0,Pakistan won by 205 runs,Umar Akmal,"['Umar Akmal - 71 runs ', 'Misbah-ul-Haq - 65 runs ']","['Shahid Afridi - 5', 'TM Odoyo - 3']",2011,Sri Lanka,played,Pakistan ,Shahid Afridi,5,TM Odoyo,3,Umar Akmal,71 runs,Misbah-ul-Haq,65 runs
50,9,2011-02-26, Colombo (RPS),League-Match,PAK,SL,277.0,7.0,266.0,9.0,Pakistan won by 11 runs,Shahid Afridi,"['Misbah-ul-Haq - 83 runs ', 'Younis Khan - 72 runs ']","['Shahid Afridi - 4', 'Shoaib Akhtar - 2']",2011,Sri Lanka,played,Pakistan ,Shahid Afridi,4,Shoaib Akhtar,2,Misbah-ul-Haq,83 runs,Younis Khan,72 runs
4,30,2019-06-24, Southampton,League-Match,BAN,AFG,262.0,7.0,200.0,0.0,Bangladesh won by 62 runs,Shakib Al Hasan,"['Mushfiqur Rahim - 83 runs ', 'Shakib Al Hasan - 51 runs ']","['Shakib Al Hasan - 5', 'Mujeeb Ur Rahman - 3']",2019,England,played,Bangladesh ,Shakib Al Hasan,5,Mujeeb Ur Rahman,3,Mushfiqur Rahim,83 runs,Shakib Al Hasan,51 runs
5,27,2019-06-22, Southampton,League-Match,IND,AFG,224.0,8.0,213.0,0.0,India won by 11 runs,Jasprit Bumrah,"['V Kohli - 67 runs ', 'Mohammad Nabi - 52 runs ']","['Mohammed Shami - 4', 'YS Chahal - 2']",2019,England,played,India ,Mohammed Shami,4,YS Chahal,2,V Kohli,67 runs,Mohammad Nabi,52 runs
7,40,2019-07-03, Chester-le-Street,League-Match,ENG,NZ,305.0,8.0,186.0,0.0,England won by 119 runs,Jonny Bairstow,"['JM Bairstow - 106 runs ', 'JJ Roy - 60 runs ']","['MA Wood - 3', 'JDS Neesham - 2']",2019,England,played,England ,MA Wood,3,JDS Neesham,2,JM Bairstow,106 runs,JJ Roy,60 runs
